osm_id;roof:shape;roof:material
261408722;hipped;roof_tiles
261408725;flat;concrete
261408727;flat;metal
261408729;;metal
261408731;flat;
261408732;;metal
261408735;;metal
261408738;;metal
261408741;hipped;roof_tiles
261408742;hipped;metal
261408744;hipped;
261408748;;concrete
261368951;;metal
261368953;;concrete
261368954;;metal
261368955;hipped;metal
261368956;flat;concrete
261368957;;metal
261368958;flat;concrete
261368959;;concrete
261368962;;metal
261368963;hipped;metal
261368964;hipped;
261368965;;metal
261368966;flat;concrete
261368967;;metal
261368971;;concrete
261368974;flat;concrete
261368976;;metal
261368981;;roof_tiles
261368983;;metal
261368985;;metal
261368986;flat;concrete
261368988;hipped;metal
261368989;;metal
261368990;flat;metal
261368991;;roof_tiles
261368992;hipped;
261368994;;metal
261368995;;concrete
261368999;hipped;roof_tiles
261369000;hipped;roof_tiles
261373921;hipped;roof_tiles
261373928;hipped;
261373934;flat;metal
167978331;flat;metal
167978332;;metal
338579537;hipped;roof_tiles
167985211;flat;metal
338579538;flat;concrete
338579539;hipped;metal
168209402;flat;concrete
338581738;hipped;
168210157;hipped;metal
338581739;hipped;metal
168210629;hipped;roof_tiles
168215009;;metal
338581740;hipped;roof_tiles
168215010;;metal
168258059;flat;
338581741;hipped;
176329531;flat;metal
176329532;flat;concrete
338581742;hipped;metal
176329583;;metal
338581743;flat;metal
338581745;hipped;
176329772;hipped;roof_tiles
177027181;hipped;roof_tiles
338581746;;metal
177813994;;roof_tiles
344072606;hipped;metal
351100875;;roof_tiles
177814005;;roof_tiles
351100876;;metal
177883124;hipped;
351100878;;metal
261373936;;concrete
261373942;flat;concrete
261373945;hipped;roof_tiles
261373946;;metal
261373949;;metal
261373957;flat;concrete
261373960;flat;metal
261373970;flat;concrete
261373973;hipped;roof_tiles
261373975;flat;concrete
261373977;flat;metal
261373979;flat;concrete
261373981;flat;metal
261373984;hipped;metal
261373990;;metal
261373995;flat;concrete
261373999;;metal
261374002;flat;concrete
261374006;flat;concrete
261374014;flat;metal
261374015;flat;metal
261374017;hipped;
261374024;;metal
261374025;;roof_tiles
261374027;hipped;roof_tiles
261374033;hipped;roof_tiles
261374040;;metal
261374042;hipped;
261379973;flat;concrete
351100881;hipped;
351100883;hipped;
351100884;hipped;metal
351100885;;metal
351100886;;metal
351100887;hipped;roof_tiles
351100890;hipped;
351100891;flat;metal
351100893;;metal
351100895;hipped;roof_tiles
351100898;hipped;roof_tiles
351100899;flat;metal
351100901;flat;
351100903;hipped;
351100905;hipped;
351100906;flat;concrete
351100907;flat;concrete
351100909;hipped;roof_tiles
351100910;hipped;roof_tiles
351100911;hipped;roof_tiles
351100912;hipped;roof_tiles
351100913;flat;
351124800;;metal
351124801;flat;metal
351124802;flat;concrete
351124803;hipped;roof_tiles
351124807;;metal
351124808;;roof_tiles
351124809;hipped;metal
351124810;hipped;
351124811;flat;metal
351124816;;metal
351124817;;metal
351124818;;metal
351124819;flat;concrete
351124820;flat;
351174293;flat;concrete
351174295;hipped;
351174297;flat;metal
181440090;;metal
181440092;hipped;metal
181443006;flat;concrete
184238559;hipped;
184612367;flat;concrete
184612373;;metal
362827297;hipped;
362827298;;metal
362827299;flat;metal
362827301;hipped;metal
362827302;hipped;metal
362827304;hipped;metal
362827305;hipped;metal
362827306;flat;concrete
362827307;flat;concrete
362827308;hipped;roof_tiles
362827309;flat;concrete
362827310;hipped;metal
362827329;flat;concrete
362827332;;metal
362827333;flat;concrete
362827334;flat;
362827335;;metal
362827336;flat;metal
362827337;hipped;metal
362827338;flat;concrete
362827339;hipped;metal
362827340;hipped;
362827341;hipped;metal
362827343;hipped;metal
362827344;hipped;roof_tiles
362827346;;roof_tiles
362827347;flat;concrete
362827348;hipped;metal
362828726;flat;concrete
362828727;hipped;metal
362828728;flat;concrete
265143005;;metal
277745266;;metal
277745267;;metal
277745268;flat;concrete
293802819;;roof_tiles
293802820;;roof_tiles
293802821;;roof_tiles
293802822;;roof_tiles
293802823;;roof_tiles
293802824;;roof_tiles
293802825;;roof_tiles
293802826;;roof_tiles
293802827;;roof_tiles
293802828;;roof_tiles
293802829;;roof_tiles
293802830;;roof_tiles
293802831;;roof_tiles
293802832;;roof_tiles
293802834;;roof_tiles
293802835;;roof_tiles
261379982;;concrete
362827259;hipped;roof_tiles
261374044;flat;metal
261374047;hipped;metal
261374054;;metal
261374055;hipped;roof_tiles
261374056;flat;concrete
261374066;;roof_tiles
261374070;hipped;roof_tiles
261374078;hipped;
261374080;hipped;metal
261374082;flat;metal
261374092;flat;metal
261374096;hipped;metal
261374108;;metal
261374117;;metal
261374118;flat;concrete
261374120;;roof_tiles
261374123;hipped;
261374124;;roof_tiles
261374125;hipped;roof_tiles
261374153;hipped;
261374155;;metal
261379937;flat;concrete
261379942;flat;
261379943;flat;
261379944;;concrete
261379953;hipped;
261379954;flat;concrete
261379964;flat;concrete
261379965;flat;concrete
261379970;;concrete
261379972;flat;concrete
293802836;;roof_tiles
293802837;;roof_tiles
293802843;;metal
293802844;;concrete
293802845;;concrete
293802847;;roof_tiles
293802848;;concrete
293802849;;metal
297645419;hipped;
305768172;;metal
305769443;hipped;metal
305772956;;metal
308488025;flat;concrete
311782148;hipped;metal
321549144;flat;
321549145;flat;metal
321549146;hipped;
321549148;;metal
321549151;hipped;
321549152;hipped;roof_tiles
321549154;;metal
321549155;hipped;roof_tiles
338579536;hipped;roof_tiles
362865354;hipped;metal
321549156;;metal
321549158;flat;concrete
321549160;flat;concrete
321549161;flat;metal
321549164;hipped;roof_tiles
321549165;hipped;metal
321549166;hipped;metal
321549167;hipped;metal
321549169;hipped;metal
338579502;;metal
338579503;hipped;metal
338579504;;metal
338579505;hipped;metal
338579506;;metal
338579507;hipped;
338579508;;metal
338579509;;metal
338579510;hipped;metal
338579511;hipped;roof_tiles
338579513;flat;metal
338579514;;metal
338579515;flat;concrete
338579516;hipped;metal
338579517;flat;concrete
338579519;hipped;roof_tiles
338579520;flat;concrete
338579521;;metal
338579522;flat;metal
338579523;hipped;metal
338579524;flat;metal
338579528;;metal
338579529;hipped;roof_tiles
338579530;flat;metal
338579531;flat;metal
338579533;;metal
338579534;;metal
261379986;;concrete
261379987;;concrete
261379992;flat;concrete
261379994;flat;concrete
362879922;;metal
362879923;flat;metal
362879924;flat;metal
362879925;flat;metal
362879926;flat;concrete
362879927;flat;concrete
362879928;;metal
362879929;flat;metal
362879930;;metal
362879931;;metal
362879932;flat;metal
362879933;flat;concrete
362879934;;metal
362879935;flat;
362879936;;metal
362879937;hipped;
362879938;hipped;metal
362879939;flat;metal
362879940;;metal
362879941;;metal
362879942;hipped;metal
362879943;;metal
362879944;;metal
362879945;flat;metal
362879946;;metal
362879947;hipped;metal
362879948;;concrete
362879949;;metal
362879950;flat;concrete
362879951;;metal
362879952;flat;
362879954;;metal
362879955;hipped;metal
362879957;flat;concrete
362879958;flat;metal
351174298;flat;concrete
351174299;flat;concrete
351174300;flat;concrete
356668988;;metal
356668994;flat;
356669003;flat;
356669004;flat;
356669049;flat;
356669051;flat;
356669105;hipped;
361219685;hipped;metal
361219687;;metal
362827230;flat;concrete
362827231;hipped;metal
362827232;;metal
362827233;hipped;roof_tiles
362827234;flat;metal
362827235;;metal
362827236;flat;metal
362827237;flat;metal
362827239;flat;metal
362827240;;metal
362827241;hipped;metal
362827242;flat;concrete
362827244;flat;
362827245;;metal
362827246;hipped;roof_tiles
362827247;hipped;metal
362827248;;roof_tiles
362827249;;metal
362827251;hipped;metal
362827252;flat;metal
362827253;hipped;
362827255;flat;
362827256;flat;metal
362827257;flat;metal
362827258;flat;concrete
362828729;flat;concrete
362828730;hipped;metal
362828731;;metal
362828732;hipped;
362828733;flat;concrete
362828734;hipped;roof_tiles
362828736;flat;concrete
362828740;;metal
362828742;flat;concrete
362828744;flat;metal
362828748;;metal
362828750;flat;concrete
362828752;flat;concrete
362828754;flat;metal
362828755;;metal
362828756;hipped;metal
362828757;flat;metal
362828759;flat;concrete
362828760;;metal
362828763;flat;
362828764;flat;concrete
362828765;flat;concrete
362828766;;metal
362828767;;metal
362829785;;metal
362829786;;roof_tiles
362829787;flat;metal
362829788;;metal
362829789;hipped;roof_tiles
362829790;hipped;metal
