node_id;max_version;latitude;longitude;tile;osm_id;damage;roof;material
1;2;180131302;-630375876;1665878516;7544069;;hipped;3
2;4;180344465;-630642740;1665879102;7553883;none;pitch;2
3;3;180346549;-630638735;1665879102;7553884;none;hipped;
4;3;180338812;-630625247;1665879099;7553886;none;flat;1
5;3;180286719;-630550443;1665879175;7554274;significant;pitch;3
6;3;180508253;-631287001;1665877722;7564898;none;flat;4
7;2;180403003;-630821690;1665879136;7575213;;flat;3
8;3;180489945;-630409189;1665879247;7575764;partial;flat;1
9;3;180595903;-630625812;1665879167;7580073;none;flat;1
10;3;180587474;-630621729;1665879252;7580074;none;pitch;3
11;3;180587016;-630625126;1665879166;7580075;none;hipped;2
12;3;180577630;-630632426;1665879166;7580076;partial;hipped;2
13;3;180333630;-630671075;1665879099;7583220;destroyed;flat;1
14;3;180499882;-630684849;1665879149;7586292;none;pitch;3
15;3;180484562;-630450610;1665879247;7587606;significant;pitch;
16;3;180485147;-630449684;1665879247;7587607;destroyed;pitch;3
17;2;180140308;-630353733;1665878516;7608037;;hipped;2
18;2;180363977;-630815884;1665879092;27616628;;pitch;3
19;2;180358686;-630810134;1665879092;27616672;;pitch;3
20;3;180265694;-630440073;1665879183;43230761;none;hipped;6
21;3;180255700;-630450931;1665879182;43392652;none;hipped;2
22;2;180196984;-630429612;1665879178;158063351;;pitch;3
23;3;180246618;-630816160;1665879076;158063352;none;flat;1
24;2;180235431;-630801808;1665879076;158063353;;flat;3
25;3;180245780;-630815025;1665879076;158063354;partial;flat;3
26;2;180236361;-630795987;1665879076;158063355;;flat;3
27;2;180405312;-630862664;1665879114;158063356;;hipped;6
28;2;180315918;-630821421;1665879089;158063404;;pitch;3
29;3;180240984;-630792444;1665879076;158063359;unknown;flat;3
30;2;180238413;-630797113;1665879076;158063360;;flat;3
31;2;180236866;-630803627;1665879076;158063361;;flat;4
32;3;180242021;-630791548;1665879076;158063362;significant;flat;3
33;3;180247773;-630822179;1665879076;158063364;unknown;flat;3
34;2;180243212;-630816741;1665879076;158063365;;flat;3
35;2;180237556;-630794940;1665879076;158063366;;flat;3
36;3;180247084;-630820173;1665879076;158063367;unknown;flat;3
37;2;180244824;-630819040;1665879076;158063368;;flat;3
38;2;180305825;-630866937;1665879066;158063370;;pitch;1
39;2;180317835;-630819014;1665879089;158063371;;pitch;3
40;4;180244569;-630806548;1665879076;158063372;none;pitch;3
41;3;180267994;-630549037;1665879175;158063373;destroyed;pitch;3
42;2;180308308;-630868772;1665879066;158063374;;flat;3
43;2;180302129;-630822934;1665879088;158063375;;flat;5
44;3;180271529;-630545610;1665879175;158063376;partial;pitch;1
45;4;180244275;-630801128;1665879076;158063377;none;flat;3
46;2;180330598;-630897493;1665879067;158063378;;hipped;2
47;3;180313100;-630816051;1665879088;158063379;;pitch;1
48;2;180331074;-630901915;1665879065;158063380;;hipped;2
49;2;180328441;-630916265;1665879065;158063381;;flat;1
50;3;180247517;-630808921;1665879076;158063382;significant;pitch;3
51;3;180311106;-630818653;1665879088;158063385;;pitch;3
52;2;180315075;-630824944;1665879088;158063387;;pitch;3
53;2;180310044;-630826915;1665879088;158063388;;flat;3
54;2;180313094;-630827271;1665879088;158063391;;pitch;3
55;4;180275683;-630542647;1665879175;158063392;none;hipped;1
56;3;180353776;-630600267;1665879188;158063393;partial;pitch;3
57;2;180314306;-630819078;1665879088;158063396;;flat;5
58;2;180293715;-630842965;1665879088;158063398;;flat;1
59;2;180339442;-630921717;1665879065;158063399;;pitch;3
60;2;180315677;-630844653;1665879066;158063400;;pitch;3
61;3;180263171;-630545162;1665879175;158063401;significant;pitch;3
62;2;180319789;-630876056;1665879067;158063402;;hipped;2
63;2;180316232;-630827177;1665879089;158063403;;pitch;3
64;2;180331780;-630919168;1665879065;158063405;;hipped;1
65;2;180318151;-630821239;1665879089;158063406;;pitch;3
66;2;180307248;-630826116;1665879088;158063407;;flat;3
67;3;180280434;-630546472;1665879175;158063408;none;pitch;3
68;2;180307522;-630868194;1665879066;158063410;;pitch;3
69;2;180417765;-630887843;1665879114;158063417;;pitch;3
70;3;180318433;-630827911;1665879089;158063418;;flat;1
71;2;180200564;-630415067;1665879178;158063419;;flat;1
72;2;180291605;-630833606;1665879088;158063421;;flat;1
73;2;180306827;-630867358;1665879066;158063422;;pitch;3
74;2;180311261;-630822314;1665879088;158063423;;pitch;1
75;3;180247387;-630803319;1665879076;158063424;partial;pitch;2
76;2;180242149;-630803234;1665879076;158063425;;flat;3
77;2;180243074;-630813435;1665879076;158063426;;pitch;3
78;2;180313036;-630871305;1665879066;158063430;;pitch;3
79;2;180323165;-630883969;1665879067;158069774;;pitch;2
80;3;180267410;-630543504;1665879175;184612374;partial;flat;3
81;2;180352636;-630851346;1665879070;158069777;;flat;3
82;2;180329672;-630882022;1665879067;158069780;;pitch;2
83;2;180400887;-630828635;1665879136;186580392;;flat;3
84;2;180339031;-630912662;1665879065;158069784;;pitch;6
85;2;180264877;-630661762;1665879087;204646724;;flat;1
86;2;180326302;-630878355;1665879067;158069787;;pitch;2
87;3;180513019;-631346584;1665877720;207975556;none;flat;5
88;2;180332107;-630890637;1665879067;158069789;;pitch;2
89;3;180276429;-630666744;1665879087;232176025;destroyed;pitch;2
90;2;180335149;-630909700;1665879065;158069792;;flat;1
91;2;180429394;-630849724;1665879115;246512299;;flat;1
92;2;180326641;-630884679;1665879067;158069794;;pitch;2
93;2;180428536;-630854206;1665879115;246512300;;pitch;3
94;2;180334179;-630888531;1665879067;158069796;;pitch;2
95;2;180425169;-630846142;1665879114;246512301;;flat;1
96;2;180348528;-630852535;1665879070;158069798;;pitch;3
97;2;180434888;-630848950;1665879115;246512302;;hipped;2
98;1;180522658;-630162891;1665879632;261379995;;;2
99;2;180401076;-630866971;1665879114;246512921;;hipped;3
100;2;180323244;-630824726;1665879089;246512923;;pitch;3
101;2;180322228;-630821029;1665879089;246512925;;pitch;3
102;2;180319608;-630824111;1665879089;246512927;;pitch;6
103;2;180524281;-630173030;1665879632;261379998;;flat;1
104;2;180319451;-630814434;1665879089;246512929;;flat;1
105;2;180321001;-630811989;1665879089;246512931;;flat;1
106;2;180322931;-630813367;1665879089;246512933;;flat;1
107;2;180321387;-630815889;1665879089;246512935;;flat;1
108;2;180326088;-630815198;1665879089;246512937;;pitch;1
109;2;180332441;-630817863;1665879089;246512938;;pitch;3
110;2;180329410;-630817568;1665879089;246512940;;pitch;3
111;2;180514119;-631217605;1665877746;261383680;;pitch;3
112;2;180326004;-630821836;1665879089;246512942;;pitch;3
113;2;180514046;-631206555;1665877746;261383683;;flat;1
114;2;180514080;-631187099;1665877746;261383687;;flat;5
115;2;180511467;-631181714;1665877746;261383688;;flat;5
116;3;180522080;-631287638;1665877722;261385165;partial;pitch;2
117;3;180515545;-631296088;1665877722;261385166;none;flat;1
118;2;180323775;-630819712;1665879089;246512945;;pitch;1
119;3;180525159;-631275902;1665877744;261385167;significant;pitch;3
120;3;180524222;-631297580;1665877722;261385174;none;pitch;3
121;3;180508364;-631276587;1665877744;261385177;none;flat;1
122;3;180521443;-631297761;1665877722;261385180;partial;hipped;6
123;2;180325065;-630817784;1665879089;246512946;;pitch;3
124;3;180522861;-631292818;1665877722;261385183;partial;pitch;6
125;2;180328298;-630820147;1665879089;246512948;;pitch;3
126;3;180510587;-631296665;1665877722;261385185;partial;flat;3
127;3;180519941;-631281860;1665877744;261385191;none;flat;6
128;2;180327361;-630819399;1665879089;246512950;;pitch;3
129;2;180316574;-630830145;1665879089;246512952;;flat;3
130;3;180521538;-631284388;1665877722;261385194;partial;pitch;2
131;2;180523866;-631295090;1665877722;261385200;;pitch;6
132;4;180276781;-630828059;1665879077;246513598;destroyed;flat;3
133;3;180355136;-630556391;1665879190;261368950;none;flat;1
134;2;180321943;-630880241;1665879067;158069800;;pitch;2
135;2;180335730;-630914110;1665879065;158069802;;hipped;5
136;2;180410922;-631226762;1665877730;164437107;;flat;4
137;2;180418063;-631213403;1665877730;167634829;;flat;5
138;2;180417265;-631174895;1665877730;167635260;;flat;3
139;2;180416346;-631198100;1665877730;167635261;;hipped;3
140;2;180440654;-631134684;1665877737;167636055;;flat;3
141;2;180433818;-631152851;1665877737;167639760;;flat;1
142;2;180372451;-631191709;1665877687;167669299;;flat;3
143;2;180378363;-631202716;1665877687;167669300;;hipped;2
144;2;180412590;-631200577;1665877730;167669577;;flat;1
145;2;180411063;-631194156;1665877730;167670182;;hipped;3
146;2;180429228;-631159245;1665877737;167670845;;flat;1
147;2;180425524;-631164467;1665877736;167670847;;pitch;1
148;2;180438845;-631201948;1665877731;167671978;;flat;4
149;2;180410911;-631153797;1665877736;167671980;;pitch;3
150;2;180410912;-631150792;1665877736;167671982;;pitch;3
151;2;180280153;-630884032;1665879055;167809570;;flat;3
152;3;180352392;-630628874;1665879102;167811710;partial;flat;3
153;2;180360491;-631153665;1665877692;167820147;;pitch;3
154;2;180384036;-631155497;1665877693;167820149;;hipped;2
155;2;180373109;-631200207;1665877687;167820151;;hipped;2
156;2;180385369;-631154156;1665877693;167820153;;pitch;2
157;2;180379960;-631154880;1665877693;167820160;;hipped;2
158;2;180369931;-631191741;1665877686;167823137;;pitch;6
159;2;180370535;-631186974;1665877686;167823139;;pitch;6
160;2;180373541;-631169007;1665877693;167823212;;hipped;6
161;2;180374635;-631167693;1665877693;167823213;;hipped;3
